CX003,好鄰居,CX003 好鄰居,41003902,,(02)24528346┃0963-387-279,基隆市七堵區福五街86號,好鄰居免洗餐具百貨行,月結,2023/10/5,
GA000,雙美人,GA000 雙美人,22992877,,(02)2585-3377┃(02)2591-6347,台北市大同區哈密街137號,双美人企業有限公司,現金,2023/10/5,
GR003,水餃店,GR003 水餃店,,,(02)2660-9136,自取,,現金,2023/10/5,
GV001,盛鑫,GV001 盛鑫,47962436,,0980-328-591┃(02)8648-0609,新北市汐止區茄苳路96號1樓,盛鑫糧食行,現金,2023/10/5,
M0000,香香,M0000 香香,26722903,,(02)2221-6191┃0939-898-189,新北市中和區員山路550號,香香美食商行,現金,2023/10/5,
M2002,永達,M2002 永達,92862172,,(02)2963-6737┃(02)2963-0506,新北市板橋區國慶路23號,永達雜糧行,現金,2023/10/5,
MC000,元和,MC000 元和,08595341,,(02)2799-5259┃(02)2799-4765,"台北市內湖區內湖路一段323巷18弄4號
汐止中興路32號",元和免洗餐具行,現金,2023/10/5,
ME000,員工,ME000 員工,,,,,,現金,2023/10/5,
MV004,昱軒,MV004 昱軒,10517461,,(02)2945-9736,新北市中和區捷運路155號,昱軒實業社,月結,2023/10/5,
MW002,元泰,MW002 元泰,,,(02)2922-4450┃(02)2927-8881,新北市永和區保平路18巷3號,,現金,2023/10/5,
RU002,久益,RU002 久益,,,,,,現金,2023/10/5,
RX002,美利達,RX002 美利達,,劉炳宏,(02)2437-7828┃0935-166-289,基隆市中山區中和路168巷13弄31號,,現金,2023/10/5,
T1000,陳寶通,T1000 陳寶通,,,(02)2727-2132,台北市信義區林口街158號,,現金,2023/10/5,
T2001,臭豆腐,T2001 臭豆腐,,,0975-312-698,,,現金,2023/10/5,
TU000,長益,TU000 長益,,,(02)2557-3976┃0933-237-782,台北市大同區安西街56號,,現金,2023/10/5,
UN000,億松,UN000 億松,,,(02)2790-6611,台北市內湖區康寧路一段26巷1號,,現金,2023/10/5,
UR001,優嘉利,UR001 優嘉利,,,(02)2292-3788,新北市五股區工商路201號,優嘉利企業有限公司,現金,2023/10/5,
V2001,鑫達,V2001 鑫達,,,0987-240-475┃(02)2420-1772,基隆市仁愛區龍安街306號(靠近南榮路),,現金,2023/10/5,
VA002,協盟,VA002 協盟,,,(02)2432-6902┃(02)2432-4788,基隆市華二街13號,,現金,2023/10/5,
VC000,信虹,VC000 信虹,,,(02)2261-0397┃(02)2261-2660,新北市土城區延和路102號,,月結,2023/10/5,
VM001,新裕昌,VM001 新裕昌,,,(02)2432-6446┃(02)2432-6639,基隆市仁愛區華三街18號(果菜市場旁),新裕昌雜糧行,現金,2023/10/5,
VZ002,興發,VZ002 興發,,,(02)2783-6941,台北市南港區中南街9號,,現金,2023/10/5,
WM000,太源,WM000 太源,,,(02)2975-7220,新北市三重區自強路一段13號,,現金,2023/10/5,
WY000,太子油飯,WY000 太子油飯,,,(02)2880-5200┃(02)2553-7579,台北市士林區前港街23號(中央廚房),太子油飯股份有限公司,月結,2023/10/5,
XG000,聯昇,XG000 聯昇,,,0935-236-815┃(02)2893-1222,台北市北投區公館路43號,,現金,2023/10/5,
XU001,羅義,XU001 羅義,,,(02)2717-2358,新北市汐止區橫科路407巷77號(F2倉),,月結,2023/10/5,
RJ000,潔威,RJ000 潔威,,,(02)2296-1578┃0932-245-026,新北市五股區民義路一段287巷10-13號,,現金,2023/11/8,
FJ000,全威行,FJ000 全威行,,,0936-179-177┃(02)2457-1899,基隆市暖暖區源遠路249巷104號,,現金,2023/11/8,
MZ000,越豐企業社,MZ000 越豐企業社,,,0938-995-322,新北市五股區中興路二段30之3號,,現金,2023/11/8,
1F000,寶清街,1F000 寶清街,,,0935-679-393┃(02)2762-1789,台北市松山區寶清街89巷20號,,現金,2023/11/8,
M2001,咏鼎,M2001 咏鼎,,,0987-092-501┃(02)2822-7447,台北市北投區自強街5巷109號1樓,咏鼎食品有限公司,現金,2023/11/8,
GU002,雅加達,GU002 雅加達,,,(02)2753-5453,台北市信義區忠孝東路五段423巷42號,,現金,2023/11/8,
MR001,永駿,MR001 永駿,,,(02)2694-5637┃(02)8693-2119,新北市汐止區環河街136-1號,永駿商行,現金,2023/12/4,
,臻旺, 臻旺,,,,,,現金,,
,協飛, 協飛,,,,,,現金,,
,家邦, 家邦,,,,,,現金,,
X2001,力達力,X2001 力達力,27615135,,(02)8985-9988,新北市三重區洛陽街62巷7號,力達力國際貿易有限公司,現金,2023/12/4,
MX001,苑裡米苔目,MX001 苑裡米苔目,,,0987-756-568┃(02)2983-0279,新北市三重區中正北路366號1F,,現金,2023/12/4,
WC001,泰輝,WC001 泰輝,,,0910-331-022┃(02)2947-2755,新北市中和區景平路151巷6號1樓,,現金,2023/12/4,
FU001,詮瑩,FU001 詮瑩,66632246,,(02)2260-4259┃(02)2660-5139,新北市汐止區橫科路407巷77號(G1),詮瑩有限公司,現金,2023/12/4,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
,, ,,,,,,,,
